Time,Approach,RPS,ActualRPS,SuccessRate(%),AppLatency(ms),QueueLatency(ms),p95(ms),p99(ms),RecordsModified,RecordsFailed,RecordsInKafka,Lag,ConsumerE2ELatency(ms),ConsumerEnrichmentLatency(ms),DB_CPU,DB_IO,DB_WaitTasks,DB_ActiveLocks,App_CPU,App_Mem,Debezium_CPU,Debezium_Mem,Kafka_CPU,Kafka_Mem
2026-07-02T12:08:05.9738281+05:30,2,100,175,100,16,0,37,37,175,0,0,175,0,0,0,0.02,10,0,0%,0%,1.38%,38.08%,3.31%,26.49%
2026-07-02T12:08:09.1013885+05:30,2,100,297,100,11,0,22,24,472,0,352,120,0,0,0,0.33,9,2,0%,0%,16.41%,38.40%,153.15%,31.09%
2026-07-02T12:08:12.1933920+05:30,2,100,256,100,18,0,49,49,728,0,352,376,0,0,0,0.65,10,0,0%,0%,0.92%,38.43%,1.88%,26.53%
2026-07-02T12:08:15.2713687+05:30,2,100,240,100,12,0,25,25,968,0,752,216,0,0,0,0.65,10,0,0%,0%,0.65%,39.65%,2.04%,26.54%
2026-07-02T12:08:18.3583517+05:30,2,100,240,100,10,0,22,22,1208,0,1152,56,0,0,0,0.32,10,5,0%,0%,36.46%,39.66%,1.16%,26.54%
2026-07-02T12:08:21.4605737+05:30,2,100,240,100,12,0,18,18,1448,0,1152,296,0,0,0,0.32,10,0,0%,0%,2.89%,39.66%,154.72%,30.63%
2026-07-02T12:08:24.5403029+05:30,2,100,240,100,14,0,23,23,1688,0,1552,136,0,0,0,0.32,10,0,0%,0%,17.88%,39.72%,1.26%,26.60%
2026-07-02T12:08:27.5896518+05:30,2,100,240,100,7,0,9,9,1928,0,1552,376,0,0,0,0.32,10,0,0%,0%,0.76%,39.72%,0.98%,26.60%
2026-07-02T12:08:30.6958688+05:30,2,100,240,100,6,0,10,10,2168,0,1952,216,0,0,0,0.66,10,0,0%,0%,3.31%,40.56%,10.34%,27.13%
2026-07-02T12:08:33.8176881+05:30,2,100,240,100,10,0,16,16,2408,0,2358,50,0,0,0,0,10,0,0%,0%,0.92%,40.56%,8.13%,26.63%
2026-07-02T12:08:36.8439662+05:30,2,100,236,100,20,0,39,39,2644,0,2358,286,0,0,0,0.64,10,0,0%,0%,0.71%,40.56%,1.15%,26.63%
2026-07-02T12:08:39.9300122+05:30,2,100,240,100,9,0,14,14,2884,0,2760,124,0,0,0,0.33,10,12,0%,0%,3.33%,40.56%,1.17%,26.64%
2026-07-02T12:08:43.0036869+05:30,2,100,259,100,12,0,16,16,3143,0,3160,0,0,0,0,0.33,10,0,0%,0%,4.30%,40.58%,16.18%,27.44%
2026-07-02T12:08:46.1054086+05:30,2,100,257,100,13,0,27,27,3400,0,3160,240,0,0,0,0.32,10,0,0%,0%,1.30%,40.58%,3.32%,26.66%
2026-07-02T12:08:49.2100223+05:30,2,100,280,100,12,0,16,16,3680,0,3560,120,0,0,0,0.32,10,0,0%,0%,18.13%,40.77%,1.13%,26.68%
2026-07-02T12:08:52.2942620+05:30,2,100,240,100,10,0,15,15,3920,0,3560,360,0,0,1,0.32,10,0,0%,0%,3.04%,40.77%,1.41%,26.68%
2026-07-02T12:08:55.3796870+05:30,2,100,239,100,10,0,27,27,4159,0,3960,199,0,0,1,0.32,10,16,0%,0%,0.78%,40.77%,2.63%,26.69%
2026-07-02T12:08:58.4899529+05:30,2,100,241,100,10,0,16,16,4400,0,4360,40,0,0,1,0.32,10,0,0%,0%,4.95%,40.78%,5.93%,26.71%
2026-07-02T12:09:01.5828903+05:30,2,100,240,100,10,0,14,14,4640,0,4360,280,0,0,1,0.32,10,0,0%,0%,3.39%,40.78%,3.19%,26.70%
2026-07-02T12:09:04.6648293+05:30,2,100,240,100,10,0,16,16,4880,0,4760,120,0,0,1,0,10,0,0%,0%,0.70%,40.78%,68.50%,28.88%
2026-07-02T12:09:07.6952749+05:30,2,100,238,100,8,0,16,16,5118,0,4760,358,0,0,1,0.65,10,0,0%,0%,0.73%,40.78%,1.41%,26.71%
2026-07-02T12:09:10.7812651+05:30,2,100,240,100,10,0,18,18,5358,0,5168,190,0,0,1,0.33,10,0,0%,0%,3.33%,40.79%,1.33%,26.72%
2026-07-02T12:09:13.8595412+05:30,2,100,237,100,10,0,18,18,5595,0,5568,27,0,0,1,0,10,0,0%,0%,4.47%,40.79%,6.27%,26.74%
2026-07-02T12:09:16.8936477+05:30,2,100,239,100,11,0,17,17,5834,0,5568,266,0,0,1,0.32,10,25,0%,0%,0.84%,40.79%,93.60%,26.75%
2026-07-02T12:09:19.9699605+05:30,2,100,238,100,13,0,23,23,6072,0,5968,104,0,0,1,0.33,12,18,0%,0%,0.63%,40.79%,1.11%,26.76%
2026-07-02T12:09:23.0660956+05:30,2,100,260,100,10,0,16,16,6332,0,5968,364,0,0,1,0.32,10,28,0%,0%,0.96%,40.79%,1.75%,26.82%
2026-07-02T12:09:26.0894128+05:30,2,100,260,100,10,0,22,22,6592,0,6368,224,0,0,1,0.32,10,0,0%,0%,0.66%,40.79%,1.26%,26.84%
2026-07-02T12:09:29.1736503+05:30,2,100,260,100,9,0,14,14,6852,0,6768,84,0,0,1,0,10,0,0%,0%,13.04%,40.80%,3.18%,26.85%
2026-07-02T12:09:32.2497350+05:30,2,100,260,100,10,0,14,14,7112,0,6768,344,0,0,1,0.32,10,0,0%,0%,0.67%,40.80%,1.10%,26.85%
2026-07-02T12:09:35.3318430+05:30,2,100,240,100,7,0,13,13,7352,0,7176,176,0,0,1,0.65,10,0,0%,0%,0.66%,40.80%,1.32%,26.87%
