Time,Approach,RPS,ActualRPS,SuccessRate(%),AppLatency(ms),QueueLatency(ms),p95(ms),p99(ms),RecordsModified,RecordsFailed,RecordsLate,RecordsInKafka,Lag,ConsumerE2ELatency(ms),ConsumerEnrichmentLatency(ms),DB_CPU,DB_IO,DB_WaitTasks,DB_ActiveLocks,App_CPU,App_Mem,Debezium_CPU,Debezium_Mem,Kafka_CPU,Kafka_Mem,FlawAlert
2026-07-08T13:13:40.8640988+05:30,3,110,59,100,8,0,14,14,59,0,0,0,59,0,0,3,2.54,8,0,0%,0%,0.58%,16.56%,0.94%,61.16%,""
2026-07-08T13:13:43.9526888+05:30,3,260,362,100,13,0,17,18,421,0,0,0,421,0,0,3,0.87,9,0,0%,0%,0.54%,16.55%,0.75%,61.16%,""
2026-07-08T13:13:47.0679838+05:30,3,410,680,100,19,0,30,35,1101,0,0,0,1101,0,0,3,1.28,9,0,0%,0%,0.63%,16.55%,0.98%,61.16%,""
2026-07-08T13:13:50.1115434+05:30,3,560,1011,100,25,0,38,38,2112,0,0,0,2112,0,0,3,1.61,9,0,0%,0%,0.65%,16.55%,0.97%,61.16%,""
2026-07-08T13:13:53.1636290+05:30,3,710,1323,100,32,0,67,71,3435,0,0,0,3435,0,0,3,2.95,9,0,0%,0%,0.69%,16.55%,140.04%,64.69%,""
2026-07-08T13:13:56.2929444+05:30,3,860,1708,100,38,0,57,61,5143,0,0,0,5143,0,0,3,2.29,9,0,0%,0%,0.67%,16.55%,1.65%,61.16%,""
2026-07-08T13:13:59.4115528+05:30,3,1010,2007,100,61,0,111,125,7150,0,0,0,7150,0,0,17,3.2,9,0,0%,0%,4.53%,16.55%,1.38%,61.16%,""
2026-07-08T13:14:02.4537179+05:30,3,1160,1606,100,244,356,584,670,8756,0,0,0,8756,0,0,17,4.49,147,283,0%,0%,0.71%,16.55%,5.30%,61.16%,""
2026-07-08T13:14:05.5689815+05:30,3,1360,1404,100,345,1345,647,667,10160,0,0,0,10160,0,0,17,2.25,150,293,0%,0%,0.73%,16.55%,95.77%,61.16%,""
2026-07-08T13:14:08.6813755+05:30,3,1510,1309,100,282,2579,602,656,11469,0,0,0,11469,0,0,17,2.24,140,295,0%,0%,3.33%,16.55%,1.13%,61.16%,""
2026-07-08T13:14:11.7285315+05:30,3,1660,670,91.06,602,3573,993,1337,12139,0,1192,0,13331,0,0,17,2.51,178,423,0%,0%,0.66%,16.55%,1.27%,61.16%,""
2026-07-08T13:14:14.8467430+05:30,3,1810,0,73.74,2243,3646,2695,2701,12139,0,4322,0,16461,0,0,17,0.99,604,1192,0%,0%,0.71%,16.55%,1.08%,61.16%,""
